Timestamp,Please confirm your consent with the data usage declaration above. ,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,"Rate the quality of the generated repair (in terms of semantic correctness, size, etc)",Rate the possibility that you would like to use the repair (either complete or partial) as feedback to the student,Rate the possibility that you would like to use the repair indirectly: to help formulate your own custom feedback to student,Rate the possibility that the feedback in the previous assignment will help students solve the current assignment,Rate the possibility that these repairs can help you in grading,Will examples of student incorrect submissions and repairs like these help you in improving the grading policy?,"If the repair is known to be verifiably (provably) correct, does it give you more confidence in using it?",Can you share your feedback regarding ITS (Optional)
2021/10/26 10:49:52 AM GMT+8,"Yes, I hereby declare my consent.",2,2,3,3,3,4,4,3,5,3,4,4,5,5,5,4,3,4,1,2,2,5,5,5,4,3,3,4,4,4,4,3,3,3,
2021/10/26 12:07:34 PM GMT+8,"Yes, I hereby declare my consent.",4,2,4,4,1,3,4,1,1,4,4,4,5,2,1,5,4,4,5,5,5,5,2,4,5,2,2,3,2,5,5,5,5,5,"Not sure what are the capabilities of the system, but sometimes it implements fixes that are not really targeted at the student, hence the low scores for direct usage. For example, if student reads in array forward then prints it backwards wrongly, I feel that the system should work on fixing how did the student print backwards wrongly, instead of changing the solution to reading the input backwards and printing it normally"
2021/10/26 12:43:54 PM GMT+8,"Yes, I hereby declare my consent.",3,2,4,5,4,5,4,4,4,4,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,I think this will be very useful!
2021/10/26 6:59:34 PM GMT+8,"Yes, I hereby declare my consent.",2,2,2,5,4,5,2,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,
2021/10/28 3:30:39 PM GMT+8,"Yes, I hereby declare my consent.",3,3,3,1,1,1,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,5,4,4,4,2,2,2,4,5,5,
2021/10/30 6:09:18 PM GMT+8,"Yes, I hereby declare my consent.",3,3,4,3,4,3,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,5,5,5,5,3,4,5,4,4,5,5,5,5,
2021/11/01 5:41:22 PM GMT+8,"Yes, I hereby declare my consent.",4,4,4,5,5,5,3,2,3,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,"It definitely seems like an extremely helpful way to catch edge cases, especially for long code that is tedious to trace through by hand. Knowing that a repair was made makes it obvious that something is wrong."
2021/11/03 9:46:46 AM GMT+8,"Yes, I hereby declare my consent.",3,1,2,3,3,4,2,1,1,4,4,5,5,5,5,5,3,5,4,3,4,5,5,5,4,3,4,5,5,4,5,4,4,4,
2021/11/14 2:02:16 PM GMT+8,"Yes, I hereby declare my consent.",3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,
2021/11/14 5:02:24 PM GMT+8,"Yes, I hereby declare my consent.",4,5,4,4,3,4,4,3,4,5,4,3,3,4,4,3,4,5,3,3,4,4,3,4,4,4,3,5,4,3,4,4,4,5,
2021/11/14 6:04:06 PM GMT+8,"Yes, I hereby declare my consent.",5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,3,5,3,3,4,5,5,5,It would be better to include bug revealing test cases for student submissions in this survey.
2021/11/14 7:21:23 PM GMT+8,"Yes, I hereby declare my consent.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,
2021/11/14 7:28:20 PM GMT+8,"Yes, I hereby declare my consent.",5,5,5,5,5,5,4,3,4,4,4,3,4,5,5,4,4,4,5,4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,
2021/11/14 7:31:25 PM GMT+8,"Yes, I hereby declare my consent.",4,4,5,5,5,5,1,1,1,4,5,4,5,5,4,3,4,4,5,5,4,5,5,4,3,2,3,5,5,5,4,4,3,4,"Most of repairs are good, but several repairs have exactly same semantics"
